NOME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Cluster
Aluno 01,1.2,0.0,0.6,1.2,1.2,0.0,0.0,1.2,0.0,1
Aluno 02,1.2,0.0,0.6,0.0,1.2,0.0,1.2,1.2,1.2,0
Aluno 03,1.2,0.0,0.6,1.2,1.2,1.2,0.0,0.0,0.0,2
Aluno 04,1.2,1.2,1.2,1.2,1.2,0.0,0.6,1.2,1.2,1
Aluno 05,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,2
Aluno 06,1.2,0.0,0.6,0.0,1.2,0.6,0.6,0.6,0.6,0
Aluno 07,1.2,0.0,0.0,0.0,1.2,0.0,0.6,0.6,1.2,0
Aluno 08,1.2,0.0,0.6,1.2,1.2,0.0,1.2,1.2,1.2,1
Aluno 09,1.2,0.0,0.6,0.0,1.2,0.0,1.2,0.6,1.2,0
Aluno 10,1.2,0.0,0.6,0.0,1.2,1.2,0.6,1.2,1.2,0
Aluno 11,1.2,0.0,0.6,0.0,1.2,1.2,1.2,0.6,1.2,0
Aluno 12,0.6,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,2
Aluno 13,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2
Aluno 14,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,2
Aluno 15,0.6,0.0,0.6,1.2,1.2,0.6,1.2,0.6,1.2,1
