NOME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Total_Soma_CP,ALGRA,ALG_RA,DECRA,DEC_RA,RECRA,REC_RA,ABSRA,ABS_RA,TOTAL_NOTA_RA,ALGREC,ALG_REC,DECREC,DEC_REC,RECREC,REC_REC,ABSREC,ABS_REC,TOTAL_NOTA_REC
Aluno 01,1.2,0.0,0.6,1.2,1.2,0.0,0.0,1.2,0.0,5.4,N,0,N,0,N,0,N,0,0,S,2.5,S,2.5,P,1.25,S,2.5,8.75
Aluno 02,1.2,0.0,0.6,0.0,1.2,0.0,1.2,1.2,1.2,6.6,P,1.25,S,2.5,P,1.25,P,1.25,6.25,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 03,1.2,0.0,0.6,1.2,1.2,1.2,0.0,0.0,0.0,5.4,S,2.5,S,2.5,S,2.5,S,2.5,10,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 04,1.2,1.2,1.2,1.2,1.2,0.0,0.6,1.2,1.2,9.0,P,1.25,S,2.5,P,1.25,P,1.25,6.25,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 05,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,2.4,N,0,N,0,N,0,N,0,0,N,0,N,0,N,0,N,0,0
Aluno 06,1.2,0.0,0.6,0.0,1.2,0.6,0.6,0.6,0.6,5.4,P,1.25,P,1.25,P,1.25,P,1.25,5,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 07,1.2,0.0,0.0,0.0,1.2,0.0,0.6,0.6,1.2,4.8,S,2.5,S,2.5,S,2.5,S,2.5,10,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 08,1.2,0.0,0.6,1.2,1.2,0.0,1.2,1.2,1.2,7.8,P,1.25,P,1.25,P,1.25,P,1.25,5,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 09,1.2,0.0,0.6,0.0,1.2,0.0,1.2,0.6,1.2,6.0,S,2.5,S,2.5,S,2.5,S,2.5,10,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 10,1.2,0.0,0.6,0.0,1.2,1.2,0.6,1.2,1.2,7.2,P,1.25,P,1.25,P,1.25,P,1.25,5,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 11,1.2,0.0,0.6,0.0,1.2,1.2,1.2,0.6,1.2,7.2,S,2.5,S,2.5,S,2.5,S,2.5,10,P,1.25,S,2.5,S,2.5,P,1.25,7.5
Aluno 12,0.6,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,3.0,S,2.5,S,2.5,S,2.5,S,2.5,10,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 13,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.4,P,1.25,S,2.5,P,1.25,P,1.25,6.25,S,2.5,S,2.5,S,2.5,S,2.5,10
Aluno 14,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.8,S,2.5,S,2.5,S,2.5,S,2.5,10,N,0,N,0,N,0,N,0,0
Aluno 15,0.6,0.0,0.6,1.2,1.2,0.6,1.2,0.6,1.2,7.2,S,2.5,S,2.5,S,2.5,S,2.5,10,S,2.5,S,2.5,S,2.5,S,2.5,10
