ID,USERID,TOTAL_CP,TOTAL_ATIVIDADE_01,QUESTIONARIO_01,ENGAJAMENTO_01,TOTAL_ATIVIDADE_02,QUESTIONARIO_02,ENGAJAMENTO_02,TOTAL_ATIVIDADE_03,ENGAJAMENTO_03
aluno 01,63,0.0,10.0,100.0,67,9,,80,0,66.0
aluno 02,56,7.275,10.0,100.0,100,9,100.0,100,10,100.0
aluno 03,41,5.41,10.0,100.0,100,10,100.0,100,10,100.0
aluno 04,25,3.125,5.0,0.0,67,10,,80,9,83.5
aluno 05,26,7.695,7.5,0.0,67,9,,80,10,83.5
aluno 06,20,3.33,5.0,100.0,100,9,100.0,100,0,50.0
aluno 07,43,3.33,7.5,0.0,67,9,,80,9,83.5
aluno 08,65,0.0,0.0,0.0,0,0,,0,0,0.0
aluno 09,40,0.83,10.0,0.0,67,0,100.0,80,0,40.0
aluno 10,50,6.24,5.0,100.0,100,7,100.0,100,4,100.0
aluno 11,35,6.66,10.0,,67,10,,80,9,83.5
aluno 12,36,5.615,10.0,,67,10,100.0,80,10,83.5
aluno 13,34,5.41,2.5,100.0,100,10,,100,10,100.0
aluno 14,48,7.285,7.5,,67,9,,80,10,83.5
aluno 15,53,1.875,5.0,,67,8,,80,0,40.0
aluno 16,45,1.67,0.0,,33,0,,40,0,20.0
aluno 17,39,0.0,5.0,,33,10,100.0,80,10,66.5
aluno 18,38,5.83,10.0,100.0,100,9,100.0,100,8,100.0
aluno 19,54,4.795,6.25,,67,9,,80,5,83.5
aluno 20,30,4.375,5.0,100.0,100,10,100.0,100,8,100.0
aluno 21,22,6.445,10.0,100.0,100,10,,100,10,100.0
aluno 22,49,5.83,7.5,100.0,100,10,100.0,100,9,100.0
aluno 24,44,02.08,0.0,,33,9,100.0,80,0,50.0
aluno 25,46,1.455,10.0,,67,9,100.0,80,9,83.5
aluno 26,51,4.375,5.0,,67,8,,80,0,40.0
aluno 27,57,0.0,5.0,,67,9,,80,10,83.5
aluno 28,27,4.59,5.0,,67,8,,80,10,83.5
aluno 29,60,0.0,0.0,,0,0,,0,0,0.0
aluno 30,21,5.205,6.25,100.0,100,10,100.0,100,10,100.0
aluno 31,18,2.5,10.0,,67,10,,80,9,83.5
aluno 32,23,2.5,7.5,,67,10,,80,9,83.5
aluno 33,29,4.58,5.0,,67,9,,80,4,83.5
aluno 34,31,02.08,8.75,,67,10,,80,0,50.0
aluno 35,37,3.75,5.0,100.0,100,9,100.0,100,5,100.0
aluno 36,47,1.875,0.0,100.0,50,10,100.0,80,0,50.0
aluno 37,42,2.92,7.5,,100,10,100.0,100,10,100.0
aluno 38,52,5.82,10.0,,100,10,,80,0,50.0
aluno 39,28,3.955,10.0,,100,9,100.0,100,9,100.0
