DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1016/j.compedu.2014.08.019,,,Assessing the effects of gamification in the classroom,"Gamification, the application of game elements to non-game settings, continues to grow in popularity as a method to increase student engagement in the classroom. We tested students across two courses, measuring their motivation, social comparison, effort, satisfaction, learner empowerment, and academic performance at four points during a 16-week semester. One course received a gamified curriculum, featuring a leaderboard and badges, whereas the other course received the same curriculum without the gamified elements. Our results found that students in the gamified course showed less motivation, satisfaction, and empowerment over time than those in the non-gamified class. The effect of course type on students' final exam scores was mediated by students' levels of intrinsic motivation, with students in the gamified course showing less motivation and lower final exam scores than the non-gamified class. This suggests that some care should be taken when applying certain gamification mechanics to educational settings. Longitudinal study on effects of gamification in the classroom.71 students surveyed at four time points in gamified or non-gamified course.Over time, gamified students were less motivated, empowered, and satisfied.Gamified course negatively affected final exam grades through intrinsic motivation.Gamified systems strongly featuring rewards may have negative effects.","Abdallah Moubayed,MohammadNoor Injadat,Abdallah Shami,Hanan Lutfiyya",Computers in Education,2015
10.1016/j.chb.2015.03.036,,,Do badges increase user activity? A field experiment on the effects of gamification,"During recent years, the practice of adding game design to non-game services has gained a relatively large amount of attention. Popular discussion connects gamification to increased user engagement, service profitability, goal commitment and the overall betterment of various behavioral outcomes. However, there is still an absence of a coherent and ample body of empirical evidence that would confirm such expectations. To this end, this paper reports the results of a 2year (1+1year between-group) field experiment in gamifying a service by implementing a game mechanic called badges. During the experiment a pre-implementation group (N=1410) was monitored for 1year. After the implementation, the post-implementation (the gamified condition) group (N=1579) was monitored for another full year. Results show that users in the gamified condition were significantly more likely to post trade proposals, carry out transactions, comment on proposals and generally use the service in a more active way. Effects of gamification on user activity are studied in a sharing economy service.Pre-implementation group (N=1410) was followed for 1year before the implementation.Post-implementation group (N=1579) was followed for 1year after the implementation.We compared trade listings, transactions, social interaction and total activity.The results show significant positive effect on all of the four dependent variables.","Abelardo Pardo,Carlos Delgado Kloos",Computers in Human Behavior,2017
10.3115/v1/w14-4111,,,Predicting MOOC Dropout over Weeks Using Machine Learning Methods,"With high dropout rates as observed in many current larger-scale online courses, mechanisms that are able to predict student dropout become increasingly important. While this problem is partially solved for students that are active in online forums, this is not yet the case for the more general student population. In this paper, we present an approach that works on click-stream data. Among other features, the machine learning algorithm takes the weekly history of student data into account and thus is able to notice changes in student behavior over time. In the later phases of a course (i.e., once such history data is available), this approach is able to predict dropout significantly better than baseline methods.","Abelardo Pardo,Feifei Han,Robert A. Ellis",,2014
10.7763/ijiet.2016.v6.699,,,An Online Automated Scoring System for Java Programming Assignments,"Abstract—This paper proposes a web-based system that automatically scores programming assignments for students. The system receives a Java application program submitted by a student and returns the test result immediately. The test consists of compiler check, JUnit test, and result test. The result test is very useful for students in elementary programming courses, because a typical program is composed of only a main method that reads/writes data from/to the standard input/output devices. The system is used experimentally in an actual course of our university. We confirmed that the accuracy of scoring is very high and the response time of the system is satisfactory.","Abhinava Barthakur,Vitomir Kovanovic,Vitomir Kovanović,Maarten de Laat,Srećko Joksimović,Srecko Joksimovic,George Siemens,George Siemens,George Siemens,Michael Richey,Michael Richey,Michael Richey,Shane Dawson",International Journal of Information and Education Technology,2016
10.1016/j.chb.2016.12.053,,,Exploring how individual traits influence enjoyment in a mobile learning game,"This study investigated individual traits as predictors of game enjoyment by including learning style, intrinsic motivation, collaboration skills, and computer game attitude as key parts of a model that also included achievement. Results of correlation and regression analyses revealed that intrinsic motivation was the only variable to predict game enjoyment. This supports the conceptualization of enjoyment as need satisfaction of intrinsic needs. Enjoyment was also found to be positively correlated with achievement. Other significant relations emerged, particularly how a player's attitude toward games predicted intrinsic motivation. The present study examined children's enjoyment experiences in the mobile version of the Minecraft game. It also highlights the complexity of game enjoyment as it relates to mobile learning games. Students who have more positive attitudes toward a game are more intrinsically motivated to play.The level of enjoyment experienced in a mobile game is accounted for by the player's level of intrinsic motivation.In the context of mobile learning games, a student's learning style is not linked to enjoyment or achievement.Collaboration skills and enjoyment levels can predict achievement.","Adam S. Carter,Adam S. Carter,Christopher D. Hundhausen",Computers in Human Behavior,2017
10.23919/mipro.2017.7973515,,,Introducing gamification into e-learning university courses,"Research on educational e-courses that contain only a series of motivating elements of computer games but do not include playing computer games has intensified since 2010 [1] [6]. This field of research is called gamification and represents the use of game elements (mechanics, dynamics and aesthetics) in a field (education, marketing etc.) that is not a computer game. A review of literature related to the field of teaching with online courses in information technology (e.g. programming, software engineering) shows that the topic of gamification has so far been inadequately explored, with the lack of theoretical and empirical research that would involve gamification methodology. Previous studies have shown that gamification can have a positive impact on the pedagogical and psychological aspects of e-learning. In this paper empirical research is presented regarding the use of gamification in online teaching of programming. A gamified e-course was designed for the lectures in programming, and a possible positive effect was examined on the usage of learning materials in an experimental group of students who will use a gamified e-course (online system).","Adam S. Carter,Adam S. Carter,Christopher D. Hundhausen,Olusola Adesope",,2017
10.1007/978-3-319-75175-7_22,,,Conceptual Framework of Microlearning-Based Training Mobile Application for Improving Programming Skills,"Application of microlearning-based training in higher education raises several new questions about the didactical design of learning activities, effective methodologies as well as technical implementation issues. The paper describes a framework of microlearning-based training mobile application for improving programming skills, which will integrate the advantages of the web-based learning environments and benefits of microlearning approach into the existing virtual learning environment infrastructure of the educational organization. The proposed mobile application framework implements innovative methods based on microlearning approach, learning anytime and anywhere requirements with immediate feedback, creating the learning community, and applying gamification features. These innovations are designed to address the interests, learning and communication habits of young people, with the goals to develop their internal motivation and sustain their interest in acquiring required programming skills.","Adam S. Carter,Christopher D. Hundhausen,Olusola Adesope",,2017
10.1145/3151759.3151795,,,Gamification in mobile and workplace integrated microlearning,"Business analysts and human resource executives consider MicroLearning and Gamification as two of the currently hottest topics in corporate learning and workplace learning. MicroLearning is seen as a solution for the limitations in dedicated learning time of employees, already stressed in their daily work routines. Gamification fosters users engagement and creates higher intrinsic motivation to learn. In this case study, we report and analyze the learning behavior of 175 employees using gamified MicroLearning over the course of seven months. The study setup allows observing behavior with and without the extrinsic motivation of an employee competition. While we observe a large increase in activity compared to groups studied in previous work, we did not see an increase in the amount of average daily learning sessions. However, we could identify a shift in learning times from working hours towards high attention periods in evenings and weekends. Consequently, we regard gamification as a means to raise user engagement, which yet bears challenges for the deployment in corporate environments to shape learning behavior as intended.","Alaaeddin Swidan,Alexander Serebrenik,Felienne Hermans",,2017
10.18608/jla.2018.51.7,,,A Modular and Extensible Framework for Open Learning Analytics,"Open Learning Analytics (OLA) is an emerging concept in the field of Learning Analytics (LA). It deals with learning data collected from multiple environments and contexts, analyzed with a wide range of analytics methods to address the requirements of different stakeholders. Due to this diversity in different dimensions of OLA, the LA developers and researchers face numerous challenges while designing solutions for OLA. The Open Learning Analytics Platform (OpenLAP) is a framework that addresses these issues and lays the foundation for an ecosystem of OLA that aims at supporting learning and teaching in fragmented, diverse, and networked learning environments. It follows a user-centric approach to engage end users in flexible definition and dynamic generation of personalized indicators. In this paper, we address a subset of OLA challenges and present the conceptual and implementation details of the analytics framework component of OpenLAP, which follows a flexible architecture that allows the easy integration of new analytics methods and visualization techniques in OpenLAP to support end users in defining indicators based on their needs in order to embed the results into their personal learning environment.","Alan L. Montgomery,Shibo Li,Kannan Srinivasan,John C. Liechty",Journal of learning Analytics,2018
,,,User behavioral patterns and early dropouts detection: Improved users profiling through analysis of successive offering of MOOC,,"Albert T. Corbett,John R. Anderson",Journal of Universal Computer Science,2018
